movie_link,movie_name,movie_author
https://movie.douban.com/subject/1397546/,追随,"
导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy..."
https://movie.douban.com/subject/1303394/,青蛇,"
导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/..."
https://movie.douban.com/subject/1293181/,惊魂记,"
导演:AlfredHitchcock   主演:JanetLeigh/AnthonyPerkins/VeraMiles"
https://movie.douban.com/subject/1388216/,撞车,"
导演:保罗·哈吉斯PaulHaggis   主演:桑德拉·布洛克SandraBullock/..."
https://movie.douban.com/subject/1291844/,终结者2：审判日,"
导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz..."
https://movie.douban.com/subject/6874403/,再次出发之纽约遇见你,"
导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克..."
https://movie.douban.com/subject/1862151/,疯狂的石头,"
导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin"
https://movie.douban.com/subject/26393561/,小萝莉的猴神大叔,"
导演:卡比尔·汗KabirKhan   主演:萨尔曼·汗SalmanKhan/哈莎莉·马..."
https://movie.douban.com/subject/3075287/,源代码,"
导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/..."
https://movie.douban.com/subject/2222996/,步履不停,"
导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu..."
https://movie.douban.com/subject/1292287/,新龙门客栈,"
导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte..."
https://movie.douban.com/subject/1292270/,梦之安魂曲,"
导演:达伦·阿伦诺夫斯基DarrenAronofsky   主演:艾伦·伯斯汀EllenBur..."
https://movie.douban.com/subject/4739952/,初恋这件小事,"
导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭..."
https://movie.douban.com/subject/1291568/,东京物语,"
导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节..."
https://movie.douban.com/subject/10808442/,爱在午夜降临前,"
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke..."
https://movie.douban.com/subject/1293908/,城市之光,"
导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·..."
https://movie.douban.com/subject/1438652/,无耻混蛋,"
导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M..."
https://movie.douban.com/subject/1300374/,绿里奇迹,"
导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM..."
https://movie.douban.com/subject/1428581/,天书奇谭,"
导演:王树忱ShuchenWang/钱运达YundaQian   主演:丁建华JianhuaDin..."
https://movie.douban.com/subject/2300586/,这个男人来自地球,"
导演:理查德·沙因克曼RichardSchenkman   主演:大卫·李·史密斯David..."
https://movie.douban.com/subject/1292849/,拯救大兵瑞恩,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks..."
https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,"
导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E..."
https://movie.douban.com/subject/1418019/,大闹天宫,"
导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/..."
